m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	mT_b	eT_missing
329.407457	138.411293	0.035843	3.018568	2.708136	589.115903	389.207440	0.188962	2.916013	0.168200	1838.161784	466.371836
212.860938	59.407646	0.294149	0.389379	1.432257	204.358735	58.101279	3.044006	2.247837	2.848859	538957.424902	291.995534
363.390007	60.823323	2.884629	0.637977	0.076273	264.736551	79.093538	2.626564	2.646295	2.085333	430037.161023	508.393971
329.176318	162.407072	1.471102	2.586242	2.358939	174.658296	79.078395	1.100783	0.507283	0.518918	54595.881603	317.267511
195.687919	158.987428	3.031787	2.636042	2.522057	211.393732	102.852114	1.233529	2.247760	1.760127	110928.210575	665.834381
136.561106	57.616070	1.560357	0.666499	0.448143	158.281125	67.191502	2.656839	2.354087	2.935986	337724.187424	330.819564
199.663249	116.185115	2.461729	1.046714	2.249403	347.713951	158.310740	2.362581	3.030707	1.203471	270465.647528	439.319044
207.532408	70.015955	2.585929	2.958524	2.650631	191.724387	87.917226	3.043001	1.013311	0.346521	160485.138779	575.253713
842.815975	790.267711	1.290676	2.012640	0.598746	169.617460	68.918681	2.925156	2.080721	1.745029	121923.637390	422.054831
199.462689	82.336645	1.920765	2.883741	2.688819	156.756561	58.796422	1.716320	0.927376	2.471217	104592.737315	563.642632
357.348445	173.534905	0.610692	3.046517	2.829429	956.621197	101.835689	2.688535	0.600424	0.651619	1683126.863344	901.065201
161.661760	69.040811	2.173219	2.542972	1.530752	164.874028	78.562532	2.567165	1.733577	0.966847	110151.246786	241.254800
222.647663	35.670899	2.802178	1.567392	2.196840	126.548938	53.473855	0.486022	1.467128	2.845633	6582.638973	436.669037
113.575602	59.222678	0.476102	1.562711	1.329650	221.573334	74.586260	2.617594	1.316198	2.528255	1044143.774447	679.523980
318.560413	173.655037	1.502702	2.393590	1.932902	133.067835	18.651394	3.009407	2.824683	3.032785	161839.950622	336.205549
175.877591	103.989814	2.405363	2.755658	1.799992	242.743864	143.938108	0.380092	1.881183	1.633402	3355.670455	382.285367
508.215685	441.461386	0.429759	2.293014	3.012483	516.075151	281.157719	1.067718	1.000334	2.675317	32457.852822	180.582884
194.218392	54.572107	1.462303	1.935009	2.081287	210.162634	37.516051	2.653652	2.480400	2.613228	169494.068665	401.352429
337.168444	102.323567	1.782296	0.961146	1.391254	147.824972	61.227154	2.782482	2.604853	2.897497	61205.866158	100.820173
253.798388	135.141284	1.929279	3.101988	2.952405	176.258123	66.841832	0.727299	0.251712	0.334224	6070.866874	183.186894
